,booktitle,id,page,page.location,type,book.id,book.page,book.type,anchor.text,interventions,Key,Item.Type,PublicationYear,Author,Publication.Title,Url,Abstract.Note,Date,Date.Added,Date.Modified,Short.Title,Publisher,Place,Language,Archive,Archive.Location,Manual.Tags
11,Anthropologie structurale,https://derridas-margins.princeton.edu/references/de-la-grammatologie/147a/,147,a,Quotation,https://derridas-margins.princeton.edu/titles/97/,39,Book,"La naissance de la phonologie a boulevers’© cette situation. Elle n'a pas seulement renouvel’© les perspectives linguistiquesÎ¾; une transformation de cette ampleur n'est pas limit’©e ’¾ une discipline particuli’åre. La phonologie ne peut manquer de jouer, vis-’¾-vis des sciences sociales, le m’éme r’‚le r’©novateur que la physique nucl’©aire, par exemple, a jou’© pour l'ensemble des sciences exactesÎ¾Î (p. 39).",,MFVJJR9R,book,1958,"L’©vi-Strauss, Claude",,https://derridas-margins.princeton.edu/titles/97/,7 references 9 pages with documented annotations,1958,8/10/18 19:16,8/10/18 19:16,Anthropologie structurale,Plon,Paris,fr,Princeton University Library,http://findingaids.princeton.edu/collections/RBD1/c9166,annotated; extant; has insertions; digital edition
12,Anthropologie structurale,https://derridas-margins.princeton.edu/references/de-la-grammatologie/192a/,192,a,Quotation,https://derridas-margins.princeton.edu/titles/97/,402-403,Book,"ÎâÎ¾Si l'on consid’åre avec attention les points d'insertion de l'enqu’éte anthropologique, on constate, au contraire, qu'en
s'int’©ressant de plus en plus ’¾ l'’©tude des soci’©t’©s modernes, l'anthropologie s'est attach’©e ’¾ y reconna’Âtre et ’¾ y isoler des *niveaux d'authenticit’©*. Ce qui permet ’¾ l'ethnologue de se trouver sur un terrain familier quand il ’©tudie un village,
une entreprise, ou un Îâ voisinage Î de grande ville (comme disent les Anglo-SaxonsÎ¾: *neighbourhood*), c'est que tout le
monde y conna’Ât tout le monde, ou ’¾ peu pr’ås...Î¾Î. ÎâÎ¾L'avenir jugera sans doute que la plus importante contribution de
l'anthropologie aux sciences sociales est d'avoir introduit (d'ailleurs inconsciemment) cette distinction capitale entre deux
modalit’©s d'existence socialeÎ¾: un genre de vie per’_u ’¾ l'origine comme traditionnel et archa’Àque, qui est avant tout celui des soci’©t’©s authentiquesÎ¾; et des formes d'apparition plus r’©cente, dont le premier type n'est certainement pas absent,
mais o’_ des groupes imparfaitement et incompl’åtement authentiques se trouvent organis’©s au sein d'un syst’åme plus vaste, lui-m’éme frapp’© d'inauthenticit’©Î¾Î (pp. 402-403).",,MFVJJR9R,book,1958,"L’©vi-Strauss, Claude",,https://derridas-margins.princeton.edu/titles/97/,7 references 9 pages with documented annotations,1958,8/10/18 19:16,8/10/18 19:16,Anthropologie structurale,Plon,Paris,fr,Princeton University Library,http://findingaids.princeton.edu/collections/RBD1/c9166,annotated; extant; has insertions; digital edition
13,"Ars signorum, vulgo character universalis et lingua philosophica",https://derridas-margins.princeton.edu/references/de-la-grammatologie/113c/,113,c,Footnote,https://derridas-margins.princeton.edu/titles/30/,,Book,"Dalgarno publia en 1661 l'ouvrage intitul’© *Ars signorum, vulgo character universalis et lingua philosophica*.",,CV7IV2TV,book,1661,"Dalgarno, George",,https://derridas-margins.princeton.edu/titles/30/,1 reference,1661,8/10/18 19:18,8/10/18 19:18,Ars signorum,,,la,,,
14,Art de jouir et autres fragments,https://derridas-margins.princeton.edu/references/de-la-grammatologie/380b/,380,b,Quotation,https://derridas-margins.princeton.edu/titles/176/,1174,Book,"Et dans *l'Art de jouir*, cet aphorisme qui dit la restitution symbolique de la pr’©sence suppl’©’©e dans le pass’© du verbeÎ¾: ÎâÎ¾En me disant, j'ai jo’_i, je jo’_is encore. Î",,BJJICF5B,bookSection,1959,"Rousseau, Jean-Jacques","Oeuvres compl’åtes de J.-J. Rousseau, vol. I",https://derridas-margins.princeton.edu/titles/176/,2 references,1959,8/10/18 19:16,8/10/18 19:16,Art de jouir et autres fragments,Gallimard,Paris,,,,
15,Art de jouir et autres fragments,https://derridas-margins.princeton.edu/references/de-la-grammatologie/420b/,420,b,Quotation,https://derridas-margins.princeton.edu/titles/176/,1174,Book,"ÎâÎ¾En me disant j'ai jo’_i, je jo’_is encoreÎ¾Î.",,BJJICF5B,bookSection,1959,"Rousseau, Jean-Jacques","Oeuvres compl’åtes de J.-J. Rousseau, vol. I",https://derridas-margins.princeton.edu/titles/176/,2 references,1959,8/10/18 19:16,8/10/18 19:16,Art de jouir et autres fragments,Gallimard,Paris,,,,
16,Au sujet des fondements de la th’©orie linguistique de Louis Hjelmslev,https://derridas-margins.princeton.edu/references/de-la-grammatologie/77c/,77,c,Footnote,https://derridas-margins.princeton.edu/titles/168/,40,Journal Article,"Cette fid’©lit’© litt’©rale s'exprimeÎ¾: 1) dans l'expos’© critique de la tentative de Hjelmslev (*Au sujet des fondements de la th’©orie linguistique de L. Hjelmslev*, in Bulletin de la Soci’©t’© de Linguistique de Paris, t. 42, p. 40)Î¾: ÎâÎ¾Hjelmslev est parfaitement logique avec lui-m’éme lorsqu'il d’©clare qu'un texte ’©crit a pour la linguistique exactement la m’éme valeur qu'un texte parl’©, puisque le choix de la substance n'importe pas. Il se refuse m’éme ’¾ admettre que la substance parl’©e soit primitive et la substance ’©crite d’©riv’©e. Il semble qu'il suffirait de lui faire remarquer qu'’¾ quelques exceptions pathologiques, pr’ås, tous les hommes parlent, mais que peu savent ’©crire, ou encore que les enfants savent parler longtemps avant d'apprendre l'’©criture. *Nous nŠ—Èinsisterons donc pas*. Î [Nous soulignons.]",,77MNPUS6,journalArticle,1946,"Martinet, Andr’©",Bulletin de la Soci’©t’© de Linguistique de Paris,https://derridas-margins.princeton.edu/titles/168/,2 references,1946,8/10/18 19:16,8/10/18 19:16,Au sujet des fondements de la th’©orie linguistique de Louis Hjelmslev,,,fr,,,
17,Au sujet des fondements de la th’©orie linguistique de Louis Hjelmslev,https://derridas-margins.princeton.edu/references/de-la-grammatologie/77e/,77,e,Footnote,https://derridas-margins.princeton.edu/titles/168/,11,Journal Article,"A. Martinet conclutÎ¾: ÎâÎ¾L'’©tude de l'’©criture repr’©sente une discipline distincte de la linguistique, encore que, pratiquement ,une de ses annexes. La linguistique fait donc abstraction des faits de graphieÎ¾Î (p. 11).",,77MNPUS6,journalArticle,1946,"Martinet, Andr’©",Bulletin de la Soci’©t’© de Linguistique de Paris,https://derridas-margins.princeton.edu/titles/168/,2 references,1946,8/10/18 19:16,8/10/18 19:16,Au sujet des fondements de la th’©orie linguistique de Louis Hjelmslev,,,fr,,,
18,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/197b/,197,b,Epigraph,https://derridas-margins.princeton.edu/titles/188/,,Book,"Tous les papiers que j'avais rassembl’©s pour suppl’©er ’¾ ma m’©moire et me guider dans cette entreprise, pass’©s en d'autres
mains, ne rentreront plus dans les miennes.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/139a/,139,a,Epigraph,https://derridas-margins.princeton.edu/titles/188/,197,Book,J'’©tais comme si j'avais commis un inceste.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/199a/,199,a,Quotation,https://derridas-margins.princeton.edu/titles/188/,228,Book,ÎâÎ¾Je ne commen’_ai de vivre que quand je me regardai comme un homme mortÎ¾Î (*Confessions* L. VI).,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/213a/,213,a,Quotation,https://derridas-margins.princeton.edu/titles/188/,109,Book,"ÎâÎ¾Qu'on ajoute ’¾ cette disposition le local de ma situation pr’©sente, log’© chez une jolie femme, caressant son image au
fond de mon c–ur, la voyant sans cesse dans la journ’©eÎ¾; le soir entour’© d'objets qui me la rappellent, couch’© dans un lit o’_ je sais, qu'elle a couch’©. Que de stimulantsÎ¾! Tel lecteur qui se les repr’©sente me regarde d’©j’¾ comme ’¾ demi mort.
Tout au contraireÎ¾; ce qui devait me perdre fut pr’©cis’©ment ce qui me sauva, du moins pour un temps. Enivr’© du charme de vivre aupr’ås d'elle, du d’©sir ardent d'y passer mes jours, absente ou pr’©sente je voyais toujours en elle une tendre m’åre,
une s–ur ch’©rie, une d’©licieuse amie et rien de plus... elle ’©tait pour moi la seule femme qui f’t au monde, et l'extr’éme
douceur des sentiments qu'elle m'inspirait ne laissant pas ’¾ mes sens le temps de s'’©veiller pour d'autreÎ, me garantissait
d'elle et de tout son sexeÎ¾Î.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/205b/,205,b,Quotation,https://derridas-margins.princeton.edu/titles/188/,644,Book,"C'est aussi le moment o’_ la nature maternelle, cessant d'’étre aim’©e, comme elle le devrait, pour elle-m’éme et dans une imm’©diate proximit’© (ÎâÎ¾O natureÎ¾! O ma m’åreÎ¾! me voici sous ta seule gardeÎ¾; il n'y a point d'homme adroit et fourbe qui s'interpose entre toi et moiÎ¾!Î¾Î. *Confessions* L. XII.) devient le substitut d'un autre amour et d'un autre attachementÎ¾:",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/208a/,208,a,Quotation,https://derridas-margins.princeton.edu/titles/188/,108-109,Book,"ÎâÎ¾J'’©tais revenu d'Italie, non tout ’¾ fait comme j'y ’©tais all’©; mais comme peut-’étre jamais ’¾ mon ’¢ge on n'en est revenu. J'en avais rapport’© non ma virginit’©, mais mon pucelage. J'avais senti le progr’ås des ans ; mon temp’©rament inquiet s'’©tait enfin d’©clar’©, et sa premi’åre ’©ruption, tr’ås involontaire, m'avait donn’© sur ma sant’© des alarmes qui peignent mieux que toute autre chose l'innocence dans laquelle j'avais v’©cu jusqu'alors. Bient’‚t rassur’© j'appris ce dangereux suppl’©ment qui trompe la nature et sauve aux jeunes gens de mon humeur beaucoup de d’©sordres aux d’©pens de leur sant’©, de leur vigueur et parfois de leur vieÎ¾Î (*Pl’©iade*, I, pp. 108-109).",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/209e/,209,e,Quotation,https://derridas-margins.princeton.edu/titles/188/,109,Book,"ÎâÎ¾Ce vice que la honte et la timidit’© trouvent si commode, a de plus un grand attrait pour les imaginations vivesÎ¾; c'est de
disposer pour ainsi dire ’¾ leur gr’© de tout le sexe, et de faire servir ’¾ leurs plaisirs la beaut’© qui les tente sans avoir besoin d'obtenir son aveuÎ¾Î.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/211a/,211,a,Quotation,https://derridas-margins.princeton.edu/titles/188/,107,Book,"ÎâÎ¾Je ne finirais pas si j'entrais dans le d’©tail de toutes les folies que le souvenir de cette ch’åre Maman me faisait faire, quand je n'’©tais plus sous ses yeux. Combien de fois j'ai bais’© mon lit en songeant qu'elle y avait couch’©, *mes* rideaux, tous les meubles de ma chambre en songeant qu'ils ’©taient ’¾ elle, que sa belle main les avait touch’©s, le plancher m’éme
sur lequel je me prosternais en songeant qu'elle y avait march’©. Quelquefois m’éme en sa pr’©sence il m'’©chappait des extravagances que le plus violent amour seul semblait pouvoir inspirer. Un jour ’¾ table, au moment qu'elle avait mis un
morceau dans sa bouche, je m'’©crie que j'y vois un cheveuÎ¾: elle rejette le morceau sur son assiette, je m'en saisis avidement et l'avale. En un mot, de moi ’¾ l'amant le plus passionn’©, il n'y avait qu'une diff’©rence unique, mais essentielle,
et qui rend mon ’©tat presque inconcevable ’¾ la raisonÎ¾Î etc., Un peu plus haut, on pouvait lireÎ¾:Î¾ÎâÎ¾Je ne sentais toute la
force de mon attachement pour elle que quand je ne la voyais pasÎ¾Î (p. 107).",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/211b/,211,b,Footnote,https://derridas-margins.princeton.edu/titles/188/,1281,Book,"Ce morceau est souvent cit’© mais l'a-t-on jamais analys’© pour lui-m’émeÎ¾? Les ’©diteurs des *Confessions* dans la *Pl’©iade*, B. Gagnebin et M. Raymond, ont sans doute raison de se m’©fier, comme ils le font toujours tr’ås syst’©matiquement, de ce qu'ils appellent la psychiatrie (note p. 1281. Cette m’éme note recense tr’ås utilement tous les textes o’_ Rousseau rappelle ses ÎâÎ¾foliesÎ¾Î ou ÎâÎ¾extravagancesÎ¾Î).",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/235a/,235,a,Quotation,https://derridas-margins.princeton.edu/titles/188/,1548,Book,"B. Gagnebin et M. Raymond rappellent dans l'’©dition des *Confessions* que ÎâÎ¾*l'Essai sur l'origine des langues* a paru pour la premi’åre fois dans un volume de *Trait’©s sur la musique* de J.-.J. Rousseau que publia Du Peyrou ’¾ Gen’åve, en 1781, d'apr’ås le manuscrit qu'il d’©tenait et qu'il a l’©gu’© ’¾ la Biblioth’åque de Neuch’¢tel (NÎç 7835)Î¾Î.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/263a/,263,a,Quotation,https://derridas-margins.princeton.edu/titles/188/,560,Book,"ÎâÎ¾Outre ces deux livres et mon *Dictionnaire de Musique*, auquel je travaillais toujours de temps en temps, j'avais quelques
autres ’©crits de moindre importance, tous en ’©tat de para’Âtre et que je me proposais de donner encore, soit s’©par’©ment, soit avec mon recueil g’©n’©ral si je l'entreprenais jamais. Le principal de ces ’©crits dont la plupart sont encore en manuscrit dans les mains de Du Peyrou, ’©tait un *Essai sur l'origine des langues* que je fis lire ’¾ M. de Malesherbes et au chevalier de Lorenzy, qui m'en dit du bien. Je comptais que toutes ces productions rassembl’©es me vaudraient au moins tous frais faits un capital de huit ’¾ dix mille francs, que voulais placer en rente viag’åre tant sur ma t’éte que sur celle de Th’©r’åseÎ¾; apr’ås quoi nous irions, comme je l'ai dit, vivre ensemble au fond de quelque Province...Î¾Î (P. 560.)",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/213b/,213,b,Quotation,https://derridas-margins.princeton.edu/titles/188/,165,Book,"Un peu plus tard, un peu plus bas dans le texte des *Confessions* (livre IV), ÎâÎ¾une petite anecdote assez difficile ’¾ direÎ¾Î nous est racont’©e. La rencontre d'un homme ÎâÎ¾sujet au m’éme viceÎ¾Î. Jean-Jacques s'enfuit terrifi’©, ÎâÎ¾aussi tremblantÎ¾Î que s'il venait de ÎâÎ¾commettre un crimeÎ¾Î. ÎâÎ¾Ce souvenir m'en gu’©rit pour longtempsÎ¾Î.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/214c/,214,c,Quotation,https://derridas-margins.princeton.edu/titles/188/,41,Book,"Or pour nous expliquer son ÎâÎ¾d’©go’t pour les filles publiquesÎ¾Î, Rousseau nous dit qu'’¾ Venise, ’¾ trente et un ans, le ÎâÎ¾penchant qui a modifi’© toutes [ses] passionsÎ¾Î (*Confessions*, p. 41) n'a pas disparuÎ¾:Î¾ÎâÎ¾Je n'avais pas perdu la funeste habitude de donner le change ’¾ mes besoinsÎ¾Î (p. 316).",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Confessions,https://derridas-margins.princeton.edu/references/de-la-grammatologie/214d/,214,d,Footnote,https://derridas-margins.princeton.edu/titles/188/,40,Book,"Dans ces pages c’©l’åbres du premier livre des *Confessions*, Rousseau rapproche les premi’åres pratiques de la lecture (ÎâÎ¾lectures d’©rob’©esÎ¾Î) de ses premi’åres d’©couvertes de l'auto-’©rotisme. Non que des ÎâÎ¾livres obsc’ånes et licencieuxÎ¾Î l'y aient encourag’©. Bien au contraire et ÎâÎ¾le hasard seconda si bien mon humeur pudique, que j'avais plus de trente ans avant que j'eusse jet’© les yeux sur aucun de ces dangereux livres qu'une belle Dame de par le monde trouve incommodes, en ce qu'on ne peut, dit-elle, les lire que d'une mainÎ¾Î (p. 40). Sans ces ÎâÎ¾dangereux livresÎ¾Î, Jean-Jacques se donne d'autres dangers.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
