book_title,page,page_location,ref_type,book_id,book_page,book_type,anchor_text,Item_Type,Publication_Year,Author,Language,avg_pos_EL
’_mile ou de l'’©ducation,203,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾D'autres femmes, des b’étes m’éme, pourront lui donner le lait qu'elle lui refuseÎ¾: la sollicitude maternelle ne se suppl’©e point. Celle qui nourrit l'enfant d'une autre au lieu du sien est une mauvaise m’åreÎ¾: comment sera-t-elle bonne nourriceÎ¾?
 Elle pourra le devenir, mais lentementÎ¾; il faudra que l'habitude change la nature...Î¾Î (*ibid*).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,420,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾D’©livr’© de l'inqui’©tude de l'esp’©rance, *et s’r de perdre ainsi peu ’¾ peu celle du d’©sir*, en voyant que le pass’© ne m'’©tait plus rien, je t’¢chais de me mettre tout ’¾ fait dans l'’©tat d'un homme qui commence ’¾ vivre. Je me disais qu'en effet *nous ne faisions jamais que commencer, et qu'il n'y a point d'autre liaison dans notre existence qu'une succession de moments pr’©sents dont le premier est toujours celui qui est en acte*. Nous naissons et nous mourons ’¾ chaque instant de notre vie.Î¾Î",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,326,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Darius, engag’© dans la Scythie avec son arm’©e, re’_oit de la part du roi des Scythes une grenouille, un oiseau, une
souris, et cinq fl’åchesÎ¾: le h’©raut remet son pr’©sent en silence et part. Cette terrible harangue fut entendue, et Darius n'eut plus grande h’¢te que de regagner son pays comme il put. *Substituez une lettre* [c'est-’¾-dire une ’©criture phon’©tique] ’¾ ces signesÎ¾: plus elle sera mena’_ante, moins elle effraieraÎ¾; ce ne sera plus qu'une gasconnade dont Darius n'aurait fait que rire.Î¾Î Et apr’ås une autre s’©rie d'exemples bibliques ou grecs, ÎâÎ¾*Ainsi l'on parle aux yeux bien mieux qu'aux oreilles*. Il n'y a personne qui ne sente la v’©rit’© du jugement d'Horace ’¾ cet ’©gard. On voit m’éme que les discours les plus ’©loquents sont ceux o’_ l'on ench’¢sse le plus d'imagesÎ¾; et les sons n'ont jamais plus *d'’©nergie* que quand ils font l'effet des couleursÎ¾Î. (Nous soulignons.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,203,c,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾De cet avantage m’éme r’©sulte un inconv’©nient qui seul devrait ’‚ter ’¾ toute femme sensible le courage de faire nourrir son enfant par une autre, c'est celui de partager le droit de m’åre ou plut’‚t de l'ali’©nerÎ¾; de voir son enfant aimer une autre femme autant et plus qu'elle...Î¾Î (*ibid*).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,360,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾En g’©n’©ral, lit-on dans *l'Emile*, ne substituez jamais le signe ’¾ la chose que quand il vous est *impossible de la montrer*Î¾; car le signe absorbe l'attention de l'enfant et lui fait oublier la chose repr’©sent’©eÎ¾Î (pp. 189-190. Nous soulignons).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,204,f,Quotation,https://derridas-margins.princeton.edu/titles/88/,49,Book,"ÎâÎ¾En m’éme temps que l'Auteur de la nature donne aux enfants le principe actif, il prend soin qu'il soit peu nuisibleÎ en leur laissant peu de force pour s'y livrer. Mais sit’‚t qu'ils peuvent consid’©rer les gens qui les environnent comme des instruments qu'il d’©pend d'eux de faire agir, ils s'en servent pour suivre leur penchant et *suppl’©er* ’¾ leur propre faiblesse.
Voil’¾ comment ils deviennent incommodes, tyrans, imp’©rieux, m’©chants, indomptablesÎ¾; progr’ås qui ne vient pas d'un esprit naturel de domination, mais qui le leur donneÎ¾; car il ne faut pas une longue exp’©rience pour sentir combien il est agr’©able d'agir par les mains d'autrui, et de n'avoir besoin que de remuer la langue pour faire mouvoir l'universÎ¾Î (p. 49. Nous soulignons).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,262,d,Footnote,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Exposer les moyens propres ’¾ maintenir dans l'ordre de la nature, c'est dire assez comment il en peut sortir. Tant que sa sensibilit’© reste born’©e ’¾ son individu, il n'y a rien de moral dans ses actionsÎ¾; ce n'est que quand elle commence ’¾ s'’©tendre hors de lui, qu'il prend d'abord les sentiments, ensuite les notions du bien et du mal, qui le constituent v’©ritablement homme et partie int’©grante de son esp’åce.Î¾Î (*Emile*, p. 257.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,401,g,Footnote,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Ici on traite avec un gouvernement invisible et toujours par ’©crit, ce qui oblige ’¾ une grande circonspection.Î¾Î",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,337,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Il n'a qu'un langage, parce qu'il n'a, pour ainsi dire, qu'une sorte de mal-’étreÎ¾: dans l'imperfection de ses organes, il ne distingue point leurs impressions diversesÎ¾; tous les maux ne forment pour lui qu'une sensation de douleur.Î¾Î (P. 46.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,260,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Il partage les peines de ses semblablesÎ¾; mais ce partage est volontaire et doux. Il jouit ’¾ la fois de la piti’© qu'il a pour leur maux, et du bonheur qui l'en exempteÎ¾; il se sent dans cet ’©tat de force qui nous ’©tend au-del’¾ de nous, et nous fait porter ailleurs l'activit’© superflue ’¾ notre bien-’étre. Pour plaindre le mal d'autrui, sans doute il faut le conna’Âtre, mais il ne faut pas le sentirÎ¾Î (p. 270).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,242,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,517,Book,"ÎâÎ¾Je m'attends que beaucoup de lecteurs, se souvenant que je donne ’¾ la femme un talent naturel pour gouverner l'homme, m'accuseront ici de contradictionÎ¾: ils se tromperont pourtant. Il y a bien de la diff’©rence entre s'arroger le droit de commander, et gouverner celui qui commande. L'empire de la femme est un empire de *douceur*, d'adresse et de complaisanceÎ¾; ses *ordres sont des caresses*, ses menaces sont des pleurs. Elle doit r’©gner dans la maison comme un
ministre dans l'Etat, en se faisant commander ce qu'elle veut faire. En ce sens il est constant que les meilleurs m’©nages
sont ceux o’_ la femme a le plus d'autorit’©Î¾: mais quand elle m’©conna’Ât la voix du chef, qu'elle veut usurper ses droits et
commander elle-m’éme, il ne r’©sulte jamais de ce d’©sordre que mis’åre, scandale et d’©shonneurÎ¾Î. (*Ibid*. Nous soulignons.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,281,c,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Je sais que toutes ces vertus par imitation sont des vertus de singe, et que nulle bonne action n'est moralement bonne que quand on la fait comme telle, et non parce que d'autres la font. Mais, dans un ’¢ge o’_ le c–ur ne sent rien encore, il faut bien faire imiter aux enfants les actes dont on veut leur donner l'habitude, en attendant qu'ils les puissent faire par discernement et par amour du bien.Î¾Î",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,188,c,Quotation,https://derridas-margins.princeton.edu/titles/88/,590,Book,"ÎâÎ¾L'abus des livres tue la scienceŠ—_Î¾Î ÎâÎ¾Š—_ tant de livres nous font n’©gliger le livre du mondeŠ—_Î¾Î ÎâÎ¾Š—_ il ne faut pas lire, il faut voir.Î¾Î ÎâÎ¾J'’‚te les instruments de leur plus grande mis’åre, savoir les livres. La lecture est le fl’©au de l'enfance.Î¾Î ÎâÎ¾L'enfant qui lit ne pense pas.Î¾Î, etc.",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,338,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾L'homme a trois sortes de voix, savoir, la voix parlante ou articul’©e, la voix chantante ou m’©lodieuse, et la voix
path’©tique ou accentu’©e, qui sert de langage aux passions, et qui anime le chant et la parole. L'enfant a ces trois sortes de voix ainsi que l'homme, sans les savoir allier de m’émeÎ¾; il a comme nous le rire, les cris, les plaintes, l'exclamation,
les g’©missements, mais il ne sait pas en m’éler les inflexions aux deux autres voix. Une musique parfaite est celle qui r’©unit le mieux ces trois voix. Les enfants sont incapables de cette musique-l’¾, et leur chant n'a jamais d'’¢me. De m’éme, dans la voix parlante, leur langage n'a point d'accentÎ¾; ils crient, mais ils n'accentuent pasÎ¾; et comme dans leur discours, il y a peu d'accent, il y a peu d'’©nergie dans leur voix.Î¾Î (*Emile*, p. 161-162.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,282,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾L'homme est imitateur, l'animal m’éme l'estÎ¾; le go’t de l'imitation est de la nature bien ordonn’©eÎ¾; mais il d’©g’©n’åre en vice dans la soci’©t’©. Le singe imite l'homme qu'il craint, et n'imite pas les animaux qu'il m’©priseÎ¾; il juge bon ce que fait un ’étre meilleur que lui. Parmi nous, au contraire, nos arlequins de toute esp’åce imitent le beau pour le d’©grader, pour le rendre ridiculeÎ¾; ils cherchent dans le sentiment de leur bassesse ’¾ s'’©galer ’¾ ce qui vaut mieux qu'euxÎ¾; ou, s'ils s'efforcent d'imiter ce qu'ils admirent, on voit dans le choix des objets le faux go’t des imitateursÎ¾: ils veulent bien plus
en imposer aux autres ou faire applaudir leur talent, que se rendre meilleurs ou plus sages.Î¾Î",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,419,c,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾L'imagination endormie ne sait point ’©tendre son ’étre sur deux temps diff’©rentsÎ¾Î (*Emile*, p. 69).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,411,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾La lettre tueÎ¾Î (*Emile*, p. 226).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,204,d,Quotation,https://derridas-margins.princeton.edu/titles/88/,102,Book,"ÎâÎ¾Laissez longtemps agir la nature, avant de vous m’éler d'agir *’¾ sa place*Î¾Î (p. 102. Nous soulignons).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,282,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,ÎâÎ¾Le fondement de l'imitation parmi nous vient du d’©sir de se transporter toujours hors de soiÎ¾Î (*ibid*.).,book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,304,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Le pays n'est pas indiff’©rent ’¾ la *culture* des hommesÎ¾; *ils ne sont tout ce qu'ils peuvent ’étre que dans les climats
temp’©r’©s*. Dans les climats extr’émes le d’©savantage est visible. *Un homme n'est pas plant’© comme un arbre dans un pays pour y demeurer toujours*Î¾; et celui qui part d'un des extr’émes pour arriver ’¾ l'autre, est forc’© de faire le doubl’© du chemin que fait pour arriver au m’éme terme celui qui part du terme moyen. ... Un Fran’_ais vit en Guin’©e et en LaponieÎ¾; mais un N’ågre ne vivra pas de m’éme ’¾ Torn’©a, ni un Samo’À’åde au Benin. Il para’Ât encore que l'organisation du cerveau est moins parfaite aux deux extr’émes. Les N’ågres ni les Lapons n'ont pas le sens des Europ’©ens. Si je veux donc que mon ’©l’åve puisse ’étre habitant de la terre, je le prendrai dans une zone temp’©r’©eÎ¾; en France, par exemple, plut’‚t qu'ailleurs.
Dans le nord les hommes consomment beaucoup sur un sol ingratÎ¾; dans le midi ils consomment peu sur un sol fertileÎ¾: de l’¾ na’Ât une nouvelle diff’©rence qui rend les uns laborieux et les autres contemplatifs...Î¾Î (P. 27. Nous soulignons.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,240,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,248,Book,"ÎâÎ¾Le premier sentiment d'un enfant est de s'aimer lui-m’émeÎ¾; et le second, qui d’©rive du premier, est d'aimer ceux qui l'approchentÎ¾Î (p. 248).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,261,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Le sentiment physique de nos maux est plus born’© qu'il ne sembleÎ¾; mais c'est par la m’©moire qui nous en fait sentir la continuit’©, c'est par l'imagination qui les ’©tend sur l'avenir, qu'ils nous rendent vraiment ’¾ plaindre. Voil’¾, je pense, une des causes qui nous endurcissent plus aux maux des animaux qu'’¾ ceux des hommes, quoique la sensibilit’© commune d’t ’©galement nous identifier avec eux. On ne plaint gu’åre un cheval de charretier dans son ’©curie, parce qu'on ne pr’©sume pas qu'en mangeant son foin il songe aux coups qu'il a re’_us et aux fatigues qui l'attendentÎ¾Î (p. 264).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,231,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,15,Book,"ÎâÎ¾Les premiers dons qu'ils re’_oivent de vous sont des cha’ÂnesÎ¾; les premiers traitements qu'ils ’©prouvent sont des tourments. *N'ayant rien de libre que la voix*, comment ne s'en serviraient-ils pas pour se plaindreÎ¾?Î¾ÎÎ¾(*Emile*, p. 15. Nous soulignons).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,204,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,50,Book,"ÎâÎ¾Loin d'avoir des forces superflues, les enfants n'en ont pas m’éme de suffisantes pour tout ce que leur demande la natureÎ¾; il faut donc leur laisser l'usage de toutes celles qu'elle leur donne et dont ils ne sauraient abuser. Premi’åre maxime.
Il faut les aider et suppl’©er ’¾ ce qui leur manque, soit en intelligence, soit en force, dans tout ce qui est du besoin physique. Deuxi’åme maximeÎ¾Î (p. 50).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,281,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Ma’Âtres, laissez les simagr’©es, soyez vertueux et bons, que vos exemples se gravent dans la m’©moire de vos enfants, en attendant qu'ils puissent entrer dans leurs c–urs.Î¾Î",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,280,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,97-99,Book,"ÎâÎ¾Mais engagez ce prodigue distributeur ’¾ donner les choses qui lui sont ch’åres, des jouets, des bonbons, son go’ter, et nous saurons bient’‚t si vous l'avez vraiment rendu lib’©ral.Î¾Î (P. 97-99.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,240,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,246-247,Book,ÎâÎ¾Mille ruisseaux ’©trangers l'ont grossieÎ¾Î.,book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,239,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Nos passions sont les principaux instruments de notre conservationÎ¾: c'est donc une entreprise aussi vaine que ridicule
de vouloir les d’©truireÎ¾; c'est contr’‚ler la nature, c'est r’©former l'ouvrage de Dieu. Si Dieu disait ’¾ l'homme d'an’©antir, les passions qu'il lui donne, Dieu voudrait et ne voudrait pasÎ¾; il se contredirait lui-m’éme. Jamais il n'a donn’© cet ordre insens’©, rien de pareil n'est ’©crit dans le c–ur humainÎ¾; et ce que Dieu veut qu'un homme fasse, il ne le lui fait pas dire par un autre homme, il le lui dit lui-m’éme, il l'’©crit au fond de son c–urÎ¾Î (pp. 246-247).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,204,e,Quotation,https://derridas-margins.princeton.edu/titles/88/,67,Book,"ÎâÎ¾On fa’_onne les plantes par la culture, et les hommes par l'’©ducation. Si l'homme naissait grand et fort, sa taille et ses forces lui seraient inutiles jusqu'’¾ ce qu'il e’t appris ’¾ s'en servirÎ¾; elles lui seraient pr’©judiciables, en emp’échant les autres de songer ’¾ l'assisterÎ¾; et abandonn’© ’¾ lui-m’éme, il mourrait de mis’åre avant d'avoir connu ses besoins. On se plaint de l'’©tat d'enfanceÎ¾; on ne voit pas que la race humaine e’t p’©ri, si l'homme n'e’t commenc’© par ’étre enfantÎ¾Î (p. 67).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,234,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾On sera surpris que je compte l'’©tude des langues au nombre des inutilit’©s de l'’©ducation... Je conviens que si l'’©tude des langues n'’©tait que celle des mots, c'est-’¾-dire des figures ou des sons qui les expriment, cette ’©tude pourrait convenir aux enfantsÎ¾: mais les langues, en changeant les signes, modifient aussi les id’©es qu'ils repr’©sentent. Les t’étes se forment sur les langages, les pens’©es prennent la teinte des idiomes. La raison seule est commune, l'esprit en chaque langue a sa forme particuli’åreÎ¾; diff’©rence qui pourrait bien ’étre en partie la cause ou l'effet des caract’åres nationauxÎ¾; et, ce qui para’Ât confirmer cette conjecture est que, chez toutes les nations du monde, la langue suit les vicissitudes des m–urs, et se conserve ou s'alt’åre comme ellesÎ¾Î (p. 105).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
